5674	cichlida	138
5664	Phyllida	148
5457	slída	355
4392	pyramida	1423
5681	Darida	131
5712	Frida	100
4784	Florida	1028
5105	křída	707
670	třída	16203
5650	encefalitida	162
5564	celulitida	248
4936	artritida	876
5630	hepatitida	182
5559	arktida	253
4883	Antarktida	929
5601	Atlantida	211
5180	vida	632
5680	Hajda	132
5343	zajda	469
5586	Hejda	226
5669	jejda	143
5681	kejda	131
4857	strejda	955
5010	halda	802
5632	Esmeralda	180
5559	Šalda	253
5186	Hilda	626
5631	Olda	181
5665	Golda	147
5463	polda	349
5550	Špulda	262
5521	Matylda	291
5692	Anda	120
4872	banda	940
4999	fanda	813
5550	Fanda	262
4997	propaganda	815
5604	Uganda	208
5172	Janda	640
5635	Landa	177
5573	palanda	239
5660	girlanda	152
5639	Manda	173
5109	Amanda	703
5602	panda	210
5697	Panda	115
5712	Randa	100
4134	veranda	1691
5100	Miranda	712
4472	sranda	1342
5336	Standa	476
5659	Vanda	153
5666	Kovanda	146
5695	Švanda	117
5686	Wanda	126
5603	Rwanda	209
5262	Benda	550
5310	dividenda	502
4508	agenda	1306
2582	legenda	3965
5659	Brenda	153
5674	Wenda	138
5100	linda	712
5095	Linda	717
5706	Minda	106
5636	Fonda	176
5624	honda	188
5549	Honda	263
3978	sonda	1867
5476	Tonda	336
3447	bunda	2524
5653	kunda	159
2930	sekunda	3318
5599	runda	213
5629	rotunda	183
5668	brynda	144
5555	óda	257
1150	svoboda	10279
3079	Svoboda	3087
5598	nesvoboda	214
4722	jahoda	1090
2548	náhoda	4027
1653	nehoda	7024
5425	autonehoda	387
4140	příhoda	1685
5674	Příhoda	138
1573	dohoda	7396
2201	pohoda	4963
5568	nepohoda	244
5674	Rhoda	138
2861	shoda	3430
5239	neshoda	573
1019	výhoda	11525
3587	nevýhoda	2333
3821	dioda	2045
4049	perioda	1784
935	škoda	12435
3370	Škoda	2632
3054	móda	3123
5428	komoda	384
5620	anoda	192
5709	Gaspoda	103
5629	zespoda	183
2252	hospoda	4802
5656	obroda	156
844	příroda	13533
4565	elektroda	1247
4627	úroda	1185
5705	neúroda	107
5401	soda	411
5553	katoda	259
698	metoda	15758
145	voda	62470
5055	Voda	757
4364	vévoda	1451
5621	arcivévoda	191
5708	Kalivoda	104
5646	Kalvoda	166
4526	epizoda	1286
5698	PDA	114
5167	garda	645
5441	avantgarda	371
553	miliarda	19060
4772	Jarda	1040
5654	petarda	158
5690	Drda	122
5434	Ferda	378
5577	Gerda	235
5698	Šmerda	114
5108	Corda	704
5485	horda	327
5665	Burda	147
5699	Lauda	113
5705	Buda	107
5597	Labuda	215
5675	pobuda	137
5647	Duda	165
5548	Juda	264
5712	Žaluda	100
5440	obluda	372
4226	nuda	1593
4488	bouda	1326
5415	hrouda	397
825	půda	13804
4482	ruda	1332
5300	Ruda	512
3237	odrůda	2842
5559	Neruda	253
5643	Gertruda	169
5370	zrůda	442
5633	etuda	179
5140	amplituda	672
4555	ostuda	1257
303	pravda	32056
5605	Pravda	207
5630	nepravda	182
5682	polopravda	130
5124	křivda	688
376	zda	26444
5686	mazda	126
5637	Mazda	175
5187	brázda	625
5671	hrazda	141
657	hvězda	16457
5260	Hvězda	552
5595	dvojhvězda	217
1285	jízda	9143
2893	mzda	3376
4018	brzda	1822
5037	uzda	775
1895	vražda	6046
3029	sebevražda	3164
5635	Naděžda	177
5434	Bea	378
3377	idea	2621
5685	Shea	127
5174	Ikea	638
5468	Lea	344
5700	Olea	112
5409	Guinea	403
4376	Andrea	1439
4316	Korea	1501
5612	Eritrea	200
5687	Sea	125
4357	Chelsea	1458
5706	odyssea	106
5669	Tea	143
5679	Nivea	133
5630	FA	182
5710	Mafa	102
5561	karafa	251
5394	žirafa	418
5688	Mustafa	124
4607	trefa	1205
5245	UEFA	567
5638	Haifa	174
5298	FIFA	514
5674	chalífa	138
5643	ISIFA	169
5158	alfa	654
5440	Alfa	372
5668	Marcolfa	144
5484	nymfa	328
3003	katastrofa	3204
5627	sofa	185
5564	harfa	248
5712	GA	100
5571	Gaga	241
5655	Jaga	157
4555	sága	1257
5546	Kirinyaga	266
947	kolega	12321
5669	mega	143
4975	Mega	837
5473	omega	339
5610	Omega	202
5518	Vega	294
997	liga	11783
3548	extraliga	2385
5699	Euroliga	113
5567	bundesliga	245
5539	Riga	273
5691	tajga	121
5359	Helga	453
4187	Olga	1634
5693	Ganga	119
5588	falanga	224
5594	sfinga	218
5591	doga	221
5270	synagoga	542
5037	jóga	775
2346	droga	4541
5680	PGA	132
5514	fuga	298
5594	VGA	218
3843	ha	2021
3308	aha	2726
5025	Aha	787
5698	haha	114
5707	Blaha	105
5474	Bláha	338
981	podlaha	11974
5657	Podlaha	155
5430	vláha	382
5606	závlaha	206
3627	námaha	2285
5686	donaha	126
984	snaha	11940
1323	dráha	8846
177	Praha	52221
5221	nástraha	591
5255	ostraha	557
5424	výstraha	388
5141	přísaha	671
1847	váha	6189
5085	nadváha	727
2309	odvaha	4646
3895	převaha	1955
5563	protiváha	249
2550	rovnováha	4023
5505	nerovnováha	307
1773	povaha	6538
1363	úvaha	8569
5321	rozvaha	491
5659	žáha	153
5496	cha	316
5567	bacha	245
5259	šlacha	553
5343	Mácha	469
5502	snacha	310
4085	brácha	1746
5556	Vácha	256
5694	Zacha	118
